name,description
Boxing,"Float like a butterfly, sting like a bee!"
Water Sports,Make a splash and ride the waves!
Football,Every goal starts with one kick!
Strength Training,GET RIPPED!
Yoga,Me: Face plant
Basketball,Nothing but net!
Badminton,"Fast feet, faster reflexes!"
Tennis,"Serve it, smash it, win it!"
Swimming,Every stroke makes you stronger.
Zumba,"Dance, sweat, and smile your way to fitness!"
Surfing,Ride the waves and master the ocean!
Golf,"Perfect your swing, one shot at a time!"
Kayaking,Paddle forward and explore new adventures!
Rugby,"Strong teamwork, stronger players!"
Snorkeling,Discover the underwater world beneath the waves!
Kids Coaching,Helping young athletes grow with confidence and fun!
Taekwondo,"Discipline, strength, and skills beyond the mat!"
Hiking,"Explore nature, challenge yourself, and enjoy the journey!"
Horse Riding,Build confidence while connecting with every ride!
Scuba Diving,Dive deeper and discover the beauty below!